2403	2652	7459	3975	2388	2382	2182	2416	9928	2642	2455	2456	2543	2544
2379	2654	2461	3974	2380	2448	2190	2401	3983	7457	5947	7438	2547	7364
2404	2655	5917	2512	2386	2398	2186	2350	5918	9931	5803	8856	6529	7365
2402	2653	7458	2541	10301	2437	2191	2426	2649	2641	8850	18454	7363	15648
2420	6095	3971	3973	2387	2417	2185	2453	2468	2643	8852	8855	15649	2352
2384	2467	2482	2526	2429	7381	2188	3961	7730	3982	8849	8857	18436	18304
2411	2651	5741	2530	2378	2422	8911	3966	2648	5462	8853	15643	18435	
2376	2484	6096	2531	2381	2423	8921	7379	2478	2195	18453	8858		
2406	2650	2458	2513	2441	2321	2181	7387	8923	7892	15644			
5908	2485	2460	2509	8293	2394	2189	7410	2469	11118	16111			
2450	7463	2480	2510	2440	7432	2183	7424	7896	7886	8851			
2351	8872	2481	2525	2427	2434	2187	7430	2647	2645				
2412	2464	5924	2511	2432	7431	8912	2425	2504	2646				
2377	2508	2459	2527	2431	7452	8920	2436	9777	11117				
2385	8868	2502	2540	2454	2391	8910	7428	7885	7893				
11395	8869	7903	2535	3962	7421	8922	7426	2507	18406				
2438	2483	2473	2538	2430	2439	13872	7429	2477	12646				
2395	8867	2479	6433	7436	2421	13880	2414	7895	11240				
7385	2465	2490	2528	2428	2452	18412	3964	2488	15410				
7383	7897	2457	7460	6553	8927	13760	11323	2470					
2397	11356	5461	6131	7413	10152	18411	11305	7894					
8209	2489	11368	2516	2435	7392	18390							
2419	2463	2506	2521	8601	2424	18409							
2442	7898	2462	2533	7454	2444								
7384	2476	2475	2532	7411	8929								
7390	3968	7939	2515	7380	8928								
2393	7884	3969	10318	7389	7427								
2413	7899	2496	2524	7453	15647								
7404	8880	10316	10318	7412	7437								
7386	2505	9778	6391	2443	2445								
2409	8865	3972	2518	7455	7414								
7416	2503	7462	2529	7434	7425								
2383	8886	2474	2542	2415	7423								
7382	8866	7901	2536	2447	7450								
7418	8883	2498	2534	7388	7451								
2451	8885	9735	2523	7456	7422								
10313	8878	7902	2539	8924	15414								
2407	8882	2499	2520	8926	18451								
7405	2500	2491	2522	7435									
7408	2492	2471	2519	7433									
8602	8877	2493	2537										
2400	8892	2497	2517										
7417	2487	2342											
7406	2472	2343											
8930	8881												
2390	8887												
7403	8884												
7391	8879												
18450	2466												
7407	8889												
18465	2656												
8932	8888												
2446	9776												
7449	8891												
2408	8890												
8931	2486												
6528													
7959													
